BARCODE,STOCK_CODE,COLOUR_CODE,SIZE_CODE,STOCK_DESCRIPTION,LABEL_NAME,CATEGORY_NAME,PRODUCT_TYPE,Attribute,SEASON_NAME,COLOUR_DESCRIPTION,RETAIL_PRICE,SOH
9333331856758,DEITHA,DBRN,38,DEITHA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,DARK/BROWN,199.95,2
9333331856765,DEITHA,DBRN,39,DEITHA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,DARK/BROWN,199.95,4
9333331856840,ASHLI,WHSP,40,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,4
9333331856857,ASHLI,WHSP,41,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,3
9333331856864,ASHLI,WHSP,42,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,1
9333331856819,ASHLI,WHSP,37,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,2
9333331856826,ASHLI,WHSP,38,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,3
9333331856833,ASHLI,WHSP,39,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,5
9333331856871,DISOLO,BLK,36,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,BLACK,159.95,0
9333331648278,BAELON,TAN,13,BAELON DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAN,159.95,0
9333331820780,GEMI,TAN,11,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331820773,GEMI,TAN,10,GEMI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAN,169.95,0
9333331856949,DISOLO,TAN,36,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,TAN,159.95,0
9333331856796,DEITHA,DBRN,42,DEITHA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,DARK/BROWN,199.95,0
9333331856789,DEITHA,DBRN,41,DEITHA DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,DARK/BROWN,199.95,0
9333331856802,ASHLI,WHSP,36,ASHLI DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,WHITE/SPEC,149.95,0
9333331857014,DETEE,BLK,36,DETEE DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,BLACK,329.95,1
9333331857021,DETEE,BLK,37,DETEE DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,BLACK,329.95,3
9333331857038,DETEE,BLK,38,DETEE DIANA FERRARI,DIANA FERRARI,WOMENS,BOOTS,,WINTER 2021,BLACK,329.95,4
9333331856987,DISOLO,TAN,40,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,TAN,159.95,4
9333331856994,DISOLO,TAN,41,DISOLO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,WINTER 2021,TAN,159.95,2
9333331648988,IGNIS,CHNP,5,IGNIS DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2018,CHARC/NAP,149.95,0
9333331648995,IGNIS,CHNP,6,IGNIS DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2018,CHARC/NAP,149.95,0
9333331649008,IGNIS,CHNP,7,IGNIS DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2018,CHARC/NAP,149.95,0
9333331649015,IGNIS,CHNP,8,IGNIS DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2018,CHARC/NAP,149.95,0
9333331649022,IGNIS,CHNP,9,IGNIS DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2018,CHARC/NAP,149.95,0
9333331648902,IGNIS,BLUS,5,IGNIS DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2018,BLUSH,149.95,0
